subid,trial,item,scope,neg_type,quant,answer
836556,test6,triangle,NQ,long,regular,no
836556,test7,book,QN+,long,moreThan,yes
207921,training1,training1,,NA,NA,no
207921,training2,training2,,NA,NA,no
207921,test4,book,NQ+,short,moreThan,yes
207921,test8,paper,NQ+,long,moreThan,yes
207921,test2,triangle,NQ,short,regular,yes
207921,test7,box,QN+,long,moreThan,no
207921,test5,cup,QN,long,regular,no
207921,test3,bowling,QN+,short,moreThan,no
207921,test6,balloon,NQ,long,regular,yes
152276,test5,book,QN,long,regular,no
207921,test1,pencil,QN,short,regular,no
152276,test4,pencil,NQ+,short,moreThan,yes
152276,test6,balloon,NQ,long,regular,yes
152276,test3,bowling,QN+,short,moreThan,no
769253,training1,training1,,NA,NA,no
769253,training2,training2,,NA,NA,no
769253,test6,paper,NQ,long,regular,no
769253,test2,pencil,NQ,short,regular,yes
769253,test8,balloon,NQ+,long,moreThan,yes
769253,test1,bowling,QN,short,regular,yes
769253,test4,triangle,NQ+,short,moreThan,yes
769253,test3,book,QN+,short,moreThan,yes
769253,test5,box,QN,long,regular,yes
769253,test7,cup,QN+,long,moreThan,yes
833857,training1,training1,,NA,NA,yes
833857,training2,training2,,NA,NA,no
833857,test7,paper,QN+,long,moreThan,no
833857,test5,triangle,QN,long,regular,no
833857,test3,book,QN+,short,moreThan,no
833857,test1,cup,QN,short,regular,yes
833857,test6,bowling,NQ,long,regular,yes
833857,test8,balloon,NQ+,long,moreThan,no
833857,test4,pencil,NQ+,short,moreThan,yes
833857,test2,box,NQ,short,regular,no
122507,training1,training1,,NA,NA,yes
122507,training2,training2,,NA,NA,no
122507,test7,box,QN+,long,moreThan,yes
122507,test8,bowling,NQ+,long,moreThan,yes
122507,test1,triangle,QN,short,regular,no
122507,test6,balloon,NQ,long,regular,yes
122507,test3,book,QN+,short,moreThan,yes
122507,test5,pencil,QN,long,regular,no
122507,test2,cup,NQ,short,regular,yes
122507,test4,paper,NQ+,short,moreThan,yes
282995,training1,training1,,NA,NA,yes
282995,training2,training2,,NA,NA,no
515155,training1,training1,,NA,NA,yes
515155,training2,training2,,NA,NA,no
515155,test5,paper,QN,long,regular,no
515155,test7,triangle,QN+,long,moreThan,no
515155,test3,pencil,QN+,short,moreThan,no
515155,test1,bowling,QN,short,regular,no
515155,test6,balloon,NQ,long,regular,yes
515155,test8,cup,NQ+,long,moreThan,yes
515155,test2,book,NQ,short,regular,yes
515155,test4,box,NQ+,short,moreThan,yes
254037,training1,training1,,NA,NA,yes
254037,training2,training2,,NA,NA,no
254037,test7,paper,QN+,long,moreThan,no
254037,test1,pencil,QN,short,regular,no
254037,test2,triangle,NQ,short,regular,yes
254037,test3,cup,QN+,short,moreThan,no
254037,test6,bowling,NQ,long,regular,yes
254037,test5,book,QN,long,regular,no
254037,test8,balloon,NQ+,long,moreThan,yes
254037,test4,box,NQ+,short,moreThan,yes
425451,training1,training1,,NA,NA,yes
425451,training2,training2,,NA,NA,no
425451,test6,box,NQ,long,regular,yes
425451,test3,balloon,QN+,short,moreThan,no
425451,test2,book,NQ,short,regular,yes
425451,test4,pencil,NQ+,short,moreThan,yes
425451,test1,bowling,QN,short,regular,no
